eps0,F,p_star,W_star,regime,n_local_maxima,n_thresholds,p_bar_low,p_bar_high
0.3,1.8347457627118644,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.927254058769301,
0.3,1.8677966101694916,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.968065823279956,
0.3,1.9008474576271186,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,4.009079069507186,
0.3,1.9338983050847458,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,4.050293070472726,
0.3,1.9669491525423728,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,4.091707101798513,
0.3,2.0,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,4.133320441786761,
0.34576271186440677,0.05,2.0395,-1.5683702412841987,AT_KINK,2,1,2.0422084175083812,
0.34576271186440677,0.08305084745762711,2.0665,-1.5663048602303973,AT_KINK,2,1,2.070442531988899,
0.34576271186440677,0.11610169491525424,2.098,-1.5639946572463683,AT_KINK,2,1,2.0989423813603127,
0.34576271186440677,0.14915254237288134,2.125,-1.562096782093618,AT_KINK,2,1,2.127708100751729,
0.34576271186440677,0.1822033898305085,2.1565,-1.5599752058779464,AT_KINK,2,1,2.156739802816538,
0.34576271186440677,0.21525423728813559,2.1835,-1.5582334500811177,AT_KINK,2,1,2.1860375781866,
0.34576271186440677,0.24830508474576268,2.215,-1.5562878319436595,AT_KINK,2,1,2.2156014959278503,
0.34576271186440677,0.28135593220338984,2.242,-1.554691834135714,AT_KINK,2,1,2.2454316039967406,
0.34576271186440677,0.31440677966101693,2.2735,-1.5529106318258727,AT_KINK,2,1,2.2755279296970023,
0.34576271186440677,0.34745762711864403,2.3049999999999997,-1.551213535831265,AT_KINK,2,1,2.3058904801362057,
0.34576271186440677,0.3805084745762712,2.3365,-1.5495976346836775,AT_KINK,2,1,2.336519242681625,
0.34576271186440677,0.4135593220338983,2.3635,-1.548275092534087,AT_KINK,2,1,2.367414185414956,
0.34576271186440677,0.4466101694915254,2.3949999999999996,-1.5468027104345556,AT_KINK,2,1,2.398575257585433,
0.34576271186440677,0.47966101694915253,2.4265,-1.5454039192851055,AT_KINK,2,1,2.4300023900609373,
0.34576271186440677,0.5127118644067796,2.458,-1.5440762849165217,AT_KINK,2,1,2.461695495776686,
0.34576271186440677,0.5457627118644068,2.4894999999999996,-1.5428174802753511,AT_KINK,2,1,2.4936544701811405,
0.34576271186440677,0.5788135593220339,2.5255,-1.5414602767578596,AT_KINK,2,1,2.5258791916787686,
0.34576271186440677,0.611864406779661,2.557,-1.5403415914817138,AT_KINK,2,1,2.558369522069337,
0.34576271186440677,0.6449152542372881,2.5885,-1.5392850556445454,AT_KINK,2,1,2.5911253069834173,
0.34576271186440677,0.6779661016949153,2.62,-1.5382887268623073,AT_KINK,2,1,2.624146376313818,
0.34576271186440677,0.7110169491525424,2.6559999999999997,-1.5372214033472296,AT_KINK,2,1,2.6574325446426377,
0.34576271186440677,0.7440677966101695,2.6875,-1.5363479174920402,AT_KINK,2,1,2.6909836116637136,
0.34576271186440677,0.7771186440677966,2.7234999999999996,-1.5354164173856384,AT_KINK,2,1,2.724799362600454,
0.34576271186440677,0.8101694915254237,2.755,-1.5346579477955038,AT_KINK,2,1,2.7588795686181586,
0.34576271186440677,0.8432203389830508,2.791,-1.5338537087101751,AT_KINK,2,1,2.793223987231539,
0.34576271186440677,0.876271186440678,2.827,-1.5331140874523725,AT_KINK,2,1,2.827832362706543,
0.34576271186440677,0.9093220338983051,2.8585,-1.5325182444923118,AT_KINK,2,1,2.862704426456608,
0.34576271186440677,0.9423728813559322,2.8945,-1.5318940986536753,AT_KINK,2,1,2.8978398974338857,
0.34576271186440677,0.9754237288135593,2.9305,-1.5313286769714483,AT_KINK,2,1,2.933238482511945,
0.34576271186440677,1.0084745762711864,2.9665,-1.5308200972777912,AT_KINK,2,1,2.9688998768676917,
0.34576271186440677,1.0415254237288136,3.0025,-1.5303665565103586,AT_KINK,2,1,3.0048237643511673,
0.34576271186440677,1.0745762711864406,3.0385,-1.5299663265311536,AT_KINK,2,1,3.0410098178531553,
0.34576271186440677,1.1076271186440678,3.0745,-1.5296177502117412,AT_KINK,2,1,3.077457699664969,
0.34576271186440677,1.140677966101695,3.1105,-1.5293192377650024,AT_KINK,2,1,3.1141670618327217,
0.34576271186440677,1.173728813559322,3.151,-1.5290413557106168,AT_KINK,2,1,3.151137546504293,
0.34576271186440677,1.2067796610169492,3.187,-1.5288442380023928,AT_KINK,2,1,3.1883687862701904,
0.34576271186440677,1.2398305084745762,3.223,-1.528692613461487,AT_KINK,2,1,3.2258604044988557,
0.34576271186440677,1.2728813559322034,3.2634999999999996,-1.5285747403599235,AT_KINK,2,1,3.2636120156635693,
0.34576271186440677,1.3059322033898306,3.2994999999999997,-1.5285153836470657,AT_KINK,2,1,3.301623225665084,
0.34576271186440677,1.3389830508474576,3.3354999999999997,-1.5284974823262265,AT_KINK,2,1,3.339893632145659,
0.34576271186440677,1.3720338983050848,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.3784228247984607,
0.34576271186440677,1.4050847457627118,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.4172103856687785,
0.34576271186440677,1.438135593220339,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.4562558894504214,
0.34576271186440677,1.4711864406779662,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.495558903773932,
0.34576271186440677,1.5042372881355932,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.5351189894903805,
0.34576271186440677,1.5372881355932204,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.574935700946436,
0.34576271186440677,1.5703389830508474,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.615008586255801,
0.34576271186440677,1.6033898305084746,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.6553371875619223,
0.34576271186440677,1.6364406779661016,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.695921041295777,
0.34576271186440677,1.6694915254237288,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.7367596784277444,
0.34576271186440677,1.702542372881356,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.7778526247123825,
0.34576271186440677,1.735593220338983,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.819199400927793,
0.34576271186440677,1.7686440677966102,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.860799523109338,
0.34576271186440677,1.8016949152542372,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.90265250277676,
0.34576271186440677,1.8347457627118644,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.9447578471556466,
0.34576271186440677,1.8677966101694916,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,3.9871150593941977,
0.34576271186440677,1.9008474576271186,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,4.0297236387727,
0.34576271186440677,1.9338983050847458,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,4.072583080908827,
0.34576271186440677,1.9669491525423728,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,4.115692877956405,
0.34576271186440677,2.0,3.3354999999999997,-1.5284974823262265,INTERIOR_GENERIC,2,1,4.159052518800257,
0.39152542372881355,0.05,2.0395,-1.6892829400291176,AT_KINK,2,1,2.0412651266351767,
