family,p,welfare,expenditure,originator_profit,originator_participates
linear,6.489999999999999,32.29859549999999,36.584779,35.65797,1
linear,6.4944999999999995,32.29866613875,36.604008647499995,35.688140925,1
linear,6.499,32.298734955,36.623229789999996,35.718299699999996,1
linear,6.5035,32.29880194875,36.642442427499994,35.748446324999996,1
linear,6.508,32.298867120000004,36.661646559999994,35.77858079999999,1
linear,6.512499999999999,32.298930468749994,36.68084218749999,35.808703124999994,1
linear,6.5169999999999995,32.298991994999994,36.70002931,35.8388133,1
linear,6.5215,32.29905169874999,36.719207927499994,35.868911325,1
linear,6.526,32.29910958000001,36.73837803999999,35.8989972,1
linear,6.5305,32.29916563875,36.757539647499996,35.929070925,1
linear,6.534999999999999,32.299219875000006,36.776692749999995,35.959132499999996,1
linear,6.539499999999999,32.299272288750004,36.7958373475,35.989181925,1
linear,6.544,32.29932288,36.81497343999999,36.019219199999995,1
linear,6.5485,32.29937164875,36.83410102749999,36.049244325,1
linear,6.553,32.299418595000006,36.853220109999995,36.0792573,1
linear,6.557499999999999,32.29946371875,36.872330687499996,36.109258125,1
linear,6.561999999999999,32.29950702,36.891432759999994,36.139246799999995,1
linear,6.5665,32.299548498750006,36.910526327499994,36.16922332499999,1
linear,6.571,32.299588154999995,36.92961139,36.1991877,1
linear,6.5755,32.299625988749995,36.9486879475,36.229139925,1
linear,6.579999999999999,32.29966199999999,36.967755999999994,36.25907999999999,1
linear,6.584499999999999,32.299696188750005,36.986815547499994,36.28900792499999,1
linear,6.5889999999999995,32.299728554999994,37.00586658999999,36.31892369999999,1
linear,6.5935,32.29975909875,37.024909127499996,36.348827325,1
linear,6.598,32.299787820000006,37.04394316,36.3787188,1
linear,6.602499999999999,32.29981471875,37.06296868749999,36.40859812499999,1
linear,6.606999999999999,32.299839795,37.08198570999999,36.43846529999999,1
linear,6.6114999999999995,32.299863048750005,37.100994227499996,36.468320325,1
linear,6.616,32.299884479999996,37.11999424,36.4981632,1
linear,6.6205,32.29990408875,37.138985747499994,36.527993925,1
linear,6.625,32.299921875,37.15796874999999,36.5578125,1
linear,6.629499999999999,32.29993783875,37.1769432475,36.587618924999994,1
linear,6.6339999999999995,32.299951979999996,37.19590924,36.617413199999994,1
linear,6.6385,32.29996429874999,37.214866727499995,36.647195325,1
linear,6.643,32.299974795000004,37.233815709999995,36.6769653,1
linear,6.6475,32.29998346875,37.2527561875,36.706723124999996,1
linear,6.651999999999999,32.299990320000006,37.27168815999999,36.7364688,1
linear,6.656499999999999,32.29999534875,37.2906116275,36.766202324999995,1
linear,6.661,32.299998554999995,37.30952658999999,36.795923699999996,1
linear,6.6655,32.29999993875,37.32843304749999,36.825632924999994,1
linear,6.67,32.2999995,37.347331,36.855329999999995,1
linear,6.674499999999999,32.299997238749995,37.3662204475,36.88501492499999,1
linear,6.678999999999999,32.299993154999996,37.38510138999999,36.914687699999995,1
linear,6.6834999999999996,32.29998724875001,37.403973827499996,36.94434832499999,1
linear,6.688,32.299979519999994,37.42283775999999,36.973996799999995,1
linear,6.6925,32.29996996875,37.44169318749999,37.003633125,1
linear,6.696999999999999,32.299958594999985,37.46054010999999,37.033257299999995,1
linear,6.701499999999999,32.299945398750005,37.47937852749999,37.062869324999994,1
linear,6.7059999999999995,32.299930380000006,37.49820844,37.0924692,1
linear,6.7105,32.299913538750005,37.5170298475,37.122056925,1
linear,6.715,32.299894875,37.53584275,37.1516325,1
linear,6.719499999999999,32.29987438875,37.55464714749999,37.18119592499999,1
linear,6.723999999999999,32.29985208,37.573443039999994,37.21074719999999,1
linear,6.7284999999999995,32.29982794875,37.59223042749999,37.24028632499999,1
linear,6.733,32.299801994999996,37.61100931,37.269813299999996,1
linear,6.7375,32.29977421875,37.6297796875,37.299328124999995,1
linear,6.742,32.299744620000006,37.64854155999999,37.3288308,1
linear,6.746499999999999,32.29971319874999,37.667294927499995,37.35832132499999,1
linear,6.7509999999999994,32.299679955,37.686039789999995,37.387799699999995,1
linear,6.7555,32.29964488874999,37.7047761475,37.417265924999995,1
linear,6.76,32.299608,37.72350399999999,37.44672,1
linear,6.7645,32.29956928874999,37.742223347499994,37.47616192499999,1
linear,6.768999999999999,32.299528755000004,37.76093418999999,37.5055917,1
linear,6.773499999999999,32.299486398750005,37.779636527499996,37.535009325,1
linear,6.778,32.299442219999996,37.798330359999994,37.564414799999994,1
linear,6.7825,32.29939621875,37.817015687499996,37.593808124999995,1
linear,6.787,32.299348394999996,37.835692509999994,37.6231893,1
linear,6.791499999999999,32.29929874875,37.854360827499995,37.652558324999994,1
linear,6.795999999999999,32.299247279999996,37.87302063999999,37.68191519999999,1
linear,6.8004999999999995,32.299193988750005,37.89167194749999,37.71125992499999,1
linear,6.805,32.29913887499999,37.91031475,37.7405925,1
linear,6.8095,32.29908193874999,37.9289490475,37.769912925,1
linear,6.813999999999999,32.299023179999985,37.947574839999994,37.79922119999999,1
linear,6.818499999999999,32.29896259875,37.96619212749999,37.82851732499999,1
linear,6.8229999999999995,32.298900195,37.98480091,37.8578013,1
linear,6.8275,32.29883596875,38.003401187499996,37.88707312499999,1
linear,6.832,32.298769920000005,38.02199296,37.9163328,1
linear,6.836499999999999,32.29870204875,38.04057622749999,37.945580324999995,1
linear,6.840999999999999,32.298632354999995,38.05915098999999,37.97481569999999,1
linear,6.8454999999999995,32.29856083875,38.07771724749999,38.004038924999996,1
